time	V(vin)-V(vout)	V(vout)
3.383514712304586e-002	5.993794e-001	1.281150e+000
3.408584812037294e-002	6.348410e-001	2.164173e+000
3.434147526364038e-002	6.552517e-001	3.054515e+000
3.473601213732574e-002	7.139874e-001	4.330967e+000
3.552508588469645e-002	8.203478e-001	6.533750e+000
3.626564995249888e-002	8.131380e-001	8.123557e+000
3.684868243947184e-002	7.314825e-001	8.968577e+000
3.710108108104786e-002	7.099438e-001	9.177185e+000
3.741439123498182e-002	7.162952e-001	9.278498e+000
3.771817147109977e-002	7.239113e-001	9.242284e+000
3.810509814593813e-002	7.643309e-001	8.976609e+000
3.873200371776155e-002	8.691435e-001	8.071517e+000
3.972856224917898e-002	9.789748e-001	5.694550e+000
4.121979893746845e-002	2.586434e-001	1.418051e+000
4.183947748384550e-002	-9.213496e-001	2.703288e-001
4.246902833635309e-002	-2.978906e+000	-1.051895e-005
4.285293011508082e-002	-4.324514e+000	-8.532642e-006
4.321186022707303e-002	-5.501329e+000	-7.230240e-006
4.392972045105743e-002	-7.533559e+000	-5.061774e-006
4.452749148422250e-002	-8.812521e+000	-3.426274e-006
4.494565622319367e-002	-9.445262e+000	-2.323640e-006
4.525237308559615e-002	-9.761114e+000	-1.529971e-006
4.552194886168952e-002	-9.931177e+000	-8.379624e-007
4.578618537699391e-002	-9.998421e+000	-1.643116e-007
4.606580775183417e-002	-9.961621e+000	5.450411e-007
4.646168881956330e-002	-9.720740e+000	1.554826e-006
4.710281417543380e-002	-8.876487e+000	3.203222e-006
4.812035058004394e-002	-6.507805e+000	6.281843e-006
4.963579466676434e-002	-1.719569e+000	3.508569e-001
5.044828215433110e-002	1.692441e-001	1.512707e+000
5.123030201356796e-002	6.999247e-001	3.773690e+000
5.169600201565604e-002	6.992865e-001	5.267675e+000
5.206735580020602e-002	7.003002e-001	6.328048e+000
5.240394273764210e-002	7.015481e-001	7.170511e+000
5.270924919155989e-002	7.265954e-001	7.801610e+000
5.324881429357012e-002	7.654753e-001	8.641817e+000
5.372661448152279e-002	7.324657e-001	9.130242e+000
5.403012184877781e-002	7.186260e-001	9.268127e+000
5.436587760385564e-002	7.269306e-001	9.244882e+000
5.474092789997048e-002	7.597513e-001	9.006820e+000
5.534893496339916e-002	8.606253e-001	8.162446e+000
5.631742462290453e-002	9.776921e-001	5.911375e+000
5.777550797271975e-002	6.250155e-001	1.462471e+000
5.821749160807571e-002	1.617275e-001	2.748468e-001
5.847512207314203e-002	-5.357460e-001	1.469615e-003
5.863586285526129e-002	-1.138024e+000	-1.416835e-005
5.879059609336364e-002	-1.715302e+000	-1.263445e-005
5.910006256956835e-002	-2.850408e+000	-1.058074e-005
5.971899552197777e-002	-4.989453e+000	-7.926424e-006
6.095686142679661e-002	-8.355022e+000	-4.107826e-006
6.144314467376613e-002	-9.216729e+000	-2.781512e-006
6.179376723968758e-002	-9.647659e+000	-1.857638e-006
6.205489941075961e-002	-9.859546e+000	-1.180815e-006
6.235337598886996e-002	-9.984726e+000	-4.180687e-007
6.269545566488026e-002	-9.972866e+000	4.504320e-007
6.306815298011635e-002	-9.771493e+000	1.400323e-006
6.367241075727995e-002	-9.039032e+000	2.949560e-006
6.463530687163183e-002	-6.931178e+000	5.742686e-006
6.608668171827267e-002	-2.324038e+000	1.549270e-001
6.695115991513832e-002	3.738987e-002	1.033069e+000
6.756688858165687e-002	6.610129e-001	2.667971e+000
6.802959508717568e-002	6.868229e-001	4.228182e+000
6.845230385428325e-002	7.211337e-001	5.513537e+000
6.905584580644852e-002	7.979903e-001	7.039624e+000
6.979869431302262e-002	7.612791e-001	8.487622e+000
7.014346586753177e-002	7.115469e-001	8.952163e+000
7.040055380784123e-002	7.091846e-001	9.158014e+000
7.070168862035668e-002	7.180147e-001	9.269672e+000
7.103436948237663e-002	7.266521e-001	9.244642e+000
7.141056333066065e-002	7.601881e-001	9.003973e+000
7.202039195678524e-002	8.614492e-001	8.153822e+000
7.299159625323463e-002	9.779000e-001	5.890631e+000
7.445292330833891e-002	4.137802e-001	1.634060e+000
7.506714926914106e-002	-5.897893e-001	3.366696e-001
7.561162053895629e-002	-2.285367e+000	-1.175271e-005
7.596487544111144e-002	-3.557799e+000	-9.494061e-006
7.630378344146817e-002	-4.719611e+000	-8.097549e-006
7.698159944218161e-002	-6.794733e+000	-5.889793e-006
7.774429783100205e-002	-8.596454e+000	-3.742467e-006
7.819542418310532e-002	-9.337125e+000	-2.547645e-006
7.852364453865331e-002	-9.707612e+000	-1.688379e-006
7.877807743231105e-002	-9.892887e+000	-1.034042e-006
7.909384292870433e-002	-9.996232e+000	-2.302730e-007
7.938959368505151e-002	-9.964706e+000	5.228015e-007
7.977949803574343e-002	-9.734308e+000	1.511713e-006
8.041113505134141e-002	-8.919517e+000	3.139524e-006
8.141468744433640e-002	-6.618720e+000	6.136863e-006
8.291404981687418e-002	-2.042309e+000	4.682209e-001
8.391647034616613e-002	1.570022e-001	2.023708e+000
8.492529472775361e-002	7.653975e-001	4.882309e+000
8.550658566891431e-002	7.438512e-001	6.562808e+000
8.598969860209506e-002	7.282057e-001	7.694201e+000
8.635108427192842e-002	7.241697e-001	8.352391e+000
8.674116755685156e-002	7.170897e-001	8.876504e+000
8.701536992549350e-002	7.096672e-001	9.123898e+000
8.730543686759117e-002	7.206573e-001	9.252455e+000
8.767757490292596e-002	7.300291e-001	9.247572e+000
8.803906518712813e-002	7.546415e-001	9.039571e+000
8.862544325415370e-002	8.508186e-001	8.262527e+000
8.956155433910464e-002	9.741902e-001	6.154696e+000
9.098034987487029e-002	4.847946e-001	2.073787e+000
9.172099195166321e-002	-6.116364e-001	4.068492e-001
9.225999388745468e-002	-2.218174e+000	-1.194695e-005
9.266663681047856e-002	-3.681132e+000	-9.354765e-006
9.306160388904385e-002	-5.019726e+000	-7.779260e-006
9.385153804617442e-002	-7.336490e+000	-5.295700e-006
9.447486244984023e-002	-8.717016e+000	-3.566442e-006
9.490780103112387e-002	-9.397431e+000	-2.426190e-006
9.522421627698600e-002	-9.737501e+000	-1.600464e-006
9.548693823472215e-002	-9.914854e+000	-9.273227e-007
9.574989722997711e-002	-9.995053e+000	-2.581581e-007
9.605231303551527e-002	-9.965945e+000	5.134432e-007
9.643974581383860e-002	-9.739820e+000	1.494941e-006
9.706745576644155e-002	-8.937083e+000	3.112745e-006
9.806520426546921e-002	-6.664236e+000	5.953921e-006
9.955782735141976e-002	-2.290496e+000	6.312542e-001
1.007909707898514e-001	2.325218e-001	2.705374e+000
1.019042469430064e-001	8.269687e-001	5.750957e+000
1.025744102337954e-001	7.974205e-001	7.454431e+000
1.031925915703640e-001	7.643814e-001	8.568917e+000
1.036071297453121e-001	7.217684e-001	9.056576e+000
1.038865978250773e-001	7.075434e-001	9.236769e+000
