time	V(vout)	I(D1)
1.184835545983004e-002	9.008413e+000	-3.390195e-008
1.187396112600157e-002	9.009292e+000	-3.386808e-008
1.190675865919270e-002	9.012093e+000	-3.446577e-008
1.194503044829541e-002	9.018174e+000	-3.571801e-008
1.198360536983252e-002	9.027759e+000	-3.704331e-008
1.202514992949240e-002	9.041867e+000	-3.791753e-008
1.207427145401896e-002	9.062384e+000	-3.770344e-008
1.215051872636073e-002	9.097832e+000	-3.517681e-008
1.223061215966995e-002	9.135228e+000	-3.053293e-008
1.232183536104736e-002	9.174203e+000	-2.370109e-008
1.240396542855365e-002	9.203191e+000	-1.690166e-008
1.250396542855366e-002	9.229388e+000	-8.429424e-009
1.260396542855366e-002	9.246381e+000	-2.382876e-010
1.270396542855366e-002	9.255267e+000	7.338638e-009
1.278581721179438e-002	9.257689e+000	1.286210e-008
1.287297273869055e-002	9.257270e+000	1.811690e-008
1.290570469372815e-002	9.256595e+000	1.993862e-008
1.293368963628190e-002	9.255805e+000	2.141962e-008
1.296154412717465e-002	9.254950e+000	2.286101e-008
1.298778885969205e-002	9.254104e+000	2.419757e-008
1.301264780496753e-002	9.253277e+000	2.544937e-008
1.303660846465021e-002	9.252465e+000	2.664648e-008
1.306185804330093e-002	9.251600e+000	2.790086e-008
1.308536015631280e-002	9.250789e+000	2.906380e-008
1.310906602702067e-002	9.249967e+000	3.023370e-008
1.313315496350276e-002	9.249130e+000	3.142027e-008
1.316190629737538e-002	9.248130e+000	3.283378e-008
1.319540593961097e-002	9.246963e+000	3.447818e-008
1.323848222941894e-002	9.245461e+000	3.658950e-008
1.329614519966514e-002	9.243451e+000	3.941063e-008
1.338407769504020e-002	9.240387e+000	4.370047e-008
1.348407769504020e-002	9.236904e+000	4.856156e-008
1.358407769504021e-002	9.233421e+000	5.340144e-008
1.368407769504021e-002	9.229940e+000	5.821721e-008
1.398407769504022e-002	9.219505e+000	7.249673e-008
1.428407769504023e-002	9.209082e+000	8.647908e-008
1.458407769504024e-002	9.198669e+000	1.001038e-007
1.488407769504024e-002	9.188271e+000	1.133117e-007
1.518407769504025e-002	9.177882e+000	1.260446e-007
1.548407769504026e-002	9.167505e+000	1.382459e-007
1.578407769504027e-002	9.157141e+000	1.498606e-007
1.608407769504028e-002	9.146789e+000	1.608337e-007
1.638407769504029e-002	9.136447e+000	1.711126e-007
1.668407769504030e-002	9.126118e+000	1.806450e-007
1.698407769504030e-002	9.115800e+000	1.893789e-007
1.728407769504031e-002	9.105494e+000	1.972628e-007
1.758407769504032e-002	9.095200e+000	2.042457e-007
1.788407769504033e-002	9.084916e+000	2.102724e-007
1.818407769504034e-002	9.074645e+000	2.152869e-007
1.848407769504035e-002	9.064385e+000	2.192262e-007
1.878407769504036e-002	9.054137e+000	2.220172e-007
1.908407769504036e-002	9.043901e+000	2.235729e-007
1.938407769504037e-002	9.033676e+000	2.237880e-007
1.958407769504038e-002	9.026866e+000	2.243187e-007
1.968407769504038e-002	9.023462e+000	3.193891e-007
1.978407769504038e-002	9.020061e+000	5.665833e-006
1.988407769504039e-002	9.016662e+000	2.112130e-004
1.998407769504039e-002	9.013268e+000	1.255573e-003
2.001400965956118e-002	9.012259e+000	2.722168e-003
2.004156566070932e-002	9.011338e+000	6.129476e-003
2.006017247991994e-002	9.010729e+000	1.082935e-002
2.008090960077666e-002	9.010072e+000	2.042923e-002
2.009966708262301e-002	9.009511e+000	3.561013e-002
2.011910294029003e-002	9.008992e+000	6.251290e-002
2.013891565822581e-002	9.008571e+000	1.083364e-001
2.015975596258378e-002	9.008325e+000	1.874306e-001
2.018230822730778e-002	9.008432e+000	3.243517e-001
2.020802195815256e-002	9.009342e+000	5.651776e-001
2.024113065611742e-002	9.012218e+000	1.000644e+000
2.027900180817042e-002	9.018302e+000	1.604412e+000
2.031766776107997e-002	9.027978e+000	2.232774e+000
2.035918048056373e-002	9.042136e+000	2.800326e+000
2.040862279010658e-002	9.062843e+000	3.233375e+000
2.048568743285609e-002	9.098704e+000	3.480021e+000
2.056577644064635e-002	9.136062e+000	3.351490e+000
2.065694756357174e-002	9.174898e+000	2.905755e+000
2.073917330696164e-002	9.203779e+000	2.376931e+000
2.083917330696164e-002	9.229793e+000	1.694816e+000
2.093917330696164e-002	9.246614e+000	1.066584e+000
2.103917330696165e-002	9.255360e+000	5.578992e-001
2.112107831711287e-002	9.257705e+000	2.732653e-001
2.120809268712581e-002	9.257249e+000	9.100582e-002
2.123787131290181e-002	9.256630e+000	5.498818e-002
2.126687711216675e-002	9.255811e+000	3.498556e-002
2.129492435300123e-002	9.254950e+000	2.184247e-002
2.132114971998059e-002	9.254105e+000	1.364201e-002
2.134601810933862e-002	9.253277e+000	8.561891e-003
2.137280926385944e-002	9.252369e+000	5.055645e-003
2.139825807165777e-002	9.251496e+000	2.971599e-003
2.142418213407943e-002	9.250601e+000	1.711383e-003
2.145483236523935e-002	9.249537e+000	8.789086e-004
2.148980477447453e-002	9.248321e+000	4.015583e-004
2.153401820998176e-002	9.246780e+000	1.490513e-004
2.159193374669410e-002	9.244762e+000	4.143014e-005
2.167810631527256e-002	9.241759e+000	6.076195e-006
2.177810631527256e-002	9.238276e+000	2.015820e-007
2.187810631527257e-002	9.234792e+000	-1.791529e-007
2.197810631527257e-002	9.231310e+000	-1.962669e-007
2.227810631527258e-002	9.220874e+000	-2.067159e-007
2.257810631527259e-002	9.210449e+000	-2.117927e-007
2.287810631527260e-002	9.200035e+000	-2.135978e-007
2.317810631527260e-002	9.189634e+000	-2.130625e-007
2.347810631527261e-002	9.179245e+000	-2.107049e-007
2.377810631527262e-002	9.168867e+000	-2.068373e-007
2.407810631527263e-002	9.158501e+000	-2.016652e-007
2.437810631527264e-002	9.148146e+000	-1.953345e-007
2.467810631527265e-002	9.137804e+000	-1.879541e-007
2.497810631527266e-002	9.127472e+000	-1.796152e-007
2.527810631527264e-002	9.117153e+000	-1.703952e-007
2.557810631527260e-002	9.106846e+000	-1.603635e-007
2.587810631527257e-002	9.096549e+000	-1.495860e-007
2.617810631527254e-002	9.086265e+000	-1.381245e-007
2.647810631527250e-002	9.075993e+000	-1.260403e-007
2.677810631527247e-002	9.065731e+000	-1.133949e-007
2.707810631527244e-002	9.055481e+000	-1.002479e-007
2.737810631527241e-002	9.045243e+000	-8.666052e-008
2.767810631527237e-002	9.035017e+000	-7.269318e-008
2.787810631527235e-002	9.028206e+000	-6.320124e-008
2.797810631527234e-002	9.024802e+000	-5.840775e-008
2.807810631527233e-002	9.021400e+000	-5.358584e-008
2.817810631527232e-002	9.018000e+000	-4.873800e-008
2.827810631527231e-002	9.014602e+000	-4.387013e-008
2.831896849596649e-002	9.013216e+000	-4.187762e-008
2.835135916887047e-002	9.012124e+000	-4.030118e-008
2.837080043436213e-002	9.011474e+000	-3.936024e-008
2.838952818182736e-002	9.010858e+000	-3.846417e-008
2.840942870300051e-002	9.010221e+000	-3.752930e-008
2.842797157035160e-002	9.009657e+000	-3.668651e-008
2.844727177128298e-002	9.009122e+000	-3.585865e-008
2.846683571673364e-002	9.008672e+000	-3.510129e-008
2.848736092361762e-002	9.008366e+000	-3.444565e-008
2.850934189379384e-002	9.008351e+000	-3.397441e-008
2.853398424844142e-002	9.008969e+000	-3.382844e-008
2.856430854128839e-002	9.011332e+000	-3.427504e-008
2.861443540231287e-002	9.019085e+000	-3.583722e-008
2.865438134223883e-002	9.029066e+000	-3.715126e-008
2.869689913615556e-002	9.043847e+000	-3.796094e-008
2.874637806230992e-002	9.064830e+000	-3.759058e-008
2.882821257949905e-002	9.103067e+000	-3.461517e-008
2.890879734244400e-002	9.140424e+000	-2.974654e-008
2.900005744204132e-002	9.178664e+000	-2.276936e-008
2.908261661648406e-002	9.206895e+000	-1.588707e-008
2.918261661648405e-002	9.231915e+000	-7.425115e-009
2.928261661648404e-002	9.247819e+000	7.057679e-010
2.938261661648403e-002	9.255819e+000	8.181689e-009
2.946515868811409e-002	9.257760e+000	1.365658e-008
2.955165653469180e-002	9.257051e+000	1.879147e-008
2.957801089968010e-002	9.256461e+000	2.024138e-008
2.960853682866560e-002	9.255574e+000	2.184484e-008
2.963633935153226e-002	9.254706e+000	2.327628e-008
2.966449543446384e-002	9.253787e+000	2.470381e-008
2.969256986805327e-002	9.252845e+000	2.611183e-008
2.971987770266651e-002	9.251913e+000	2.747112e-008
2.975135746326288e-002	9.250829e+000	2.903002e-008
2.978601604349068e-002	9.249627e+000	3.073974e-008
2.982881910729987e-002	9.248137e+000	3.284540e-008
