time	V(vin)-V(vout)	V(vout)
1.660303966355231e-002	-2.399126e-001	6.742519e-005
1.662142777418420e-002	-1.705493e-001	1.099587e-005
1.665384294590459e-002	-4.834634e-002	2.239943e-006
1.671637238316875e-002	1.872380e-001	1.371684e-004
1.675311019484480e-002	3.242977e-001	1.529055e-003
1.677611765511849e-002	4.052992e-001	7.204226e-003
1.679243426748470e-002	4.525204e-001	2.143469e-002
1.681233206258284e-002	4.926196e-001	5.625004e-002
1.683334007930551e-002	5.189960e-001	1.089346e-001
1.686322853158548e-002	5.419176e-001	1.984252e-001
1.689131345103723e-002	5.558027e-001	2.900837e-001
1.694748328994071e-002	5.736615e-001	4.830159e-001
1.702626099480183e-002	5.905205e-001	7.609698e-001
1.712626099480183e-002	6.051179e-001	1.118856e+000
1.722626099480183e-002	6.156921e-001	1.478315e+000
1.732626099480183e-002	6.237867e-001	1.837279e+000
1.752626099480184e-002	6.358991e-001	2.548274e+000
1.772626099480185e-002	6.449468e-001	3.244241e+000
1.802626099480185e-002	6.551762e-001	4.248879e+000
1.832626099480186e-002	6.629019e-001	5.193360e+000
1.862626099480187e-002	6.689572e-001	6.064683e+000
1.892626099480188e-002	6.737804e-001	6.851201e+000
1.922626099480189e-002	6.776276e-001	7.542544e+000
1.952626099480190e-002	6.806583e-001	8.129673e+000
1.982626099480191e-002	6.829739e-001	8.604943e+000
2.012626099480191e-002	6.846428e-001	8.962185e+000
2.042626099480192e-002	6.857071e-001	9.196770e+000
2.072626099480193e-002	6.861944e-001	9.305660e+000
2.102626099480194e-002	6.861134e-001	9.287449e+000
2.132626099480195e-002	6.854620e-001	9.142371e+000
2.162626099480196e-002	6.842279e-001	8.872303e+000
2.192626099480197e-002	6.823797e-001	8.480742e+000
2.222626099480198e-002	6.798677e-001	7.972763e+000
2.252626099480198e-002	6.766167e-001	7.354966e+000
2.282626099480199e-002	6.725097e-001	6.635402e+000
2.312626099480200e-002	6.673656e-001	5.823499e+000
2.342626099480201e-002	6.608891e-001	4.929993e+000
2.372626099480202e-002	6.525590e-001	3.966903e+000
2.402626099480203e-002	6.413429e-001	2.947674e+000
2.422626099480203e-002	6.311598e-001	2.244579e+000
2.432626099480204e-002	6.247201e-001	1.887994e+000
2.442626099480204e-002	6.168745e-001	1.529245e+000
2.452626099480204e-002	6.067958e-001	1.169679e+000
2.462626099480204e-002	5.926161e-001	8.116896e-001
2.472626099480205e-002	5.676447e-001	4.624963e-001
2.482626099480205e-002	5.178960e-001	1.366164e-001
2.486192405730130e-002	4.751262e-001	4.517278e-002
2.488506221036195e-002	4.200958e-001	1.307386e-002
2.490991012237334e-002	3.382656e-001	1.299970e-003
2.491862136470470e-002	3.064234e-001	3.187426e-004
2.493548134673193e-002	2.431279e-001	7.770300e-005
2.495277546622279e-002	1.780097e-001	1.315878e-005
2.498709624755988e-002	4.864456e-002	1.251395e-006
2.503333818459735e-002	-1.257568e-001	7.813052e-005
2.508391131046475e-002	-3.179694e-001	1.683973e-003
2.511026778514033e-002	-4.241311e-001	8.551087e-003
2.512884860982911e-002	-5.117828e-001	2.622595e-002
2.514962294125031e-002	-6.292472e-001	6.548107e-002
2.517307980815225e-002	-7.790436e-001	1.270110e-001
2.520075643110695e-002	-9.677582e-001	2.116466e-001
2.523254757743618e-002	-1.192328e+000	3.167667e-001
2.529612987009461e-002	-1.650818e+000	5.367518e-001
2.538851065803607e-002	-2.323616e+000	8.641961e-001
2.548851065803606e-002	-3.054024e+000	1.222775e+000
2.558851065803605e-002	-3.782771e+000	1.582295e+000
2.568851065803604e-002	-4.507386e+000	1.940809e+000
2.588851065803602e-002	-5.937280e+000	2.649961e+000
2.608851065803600e-002	-7.332688e+000	3.343304e+000
2.638851065803596e-002	-9.341518e+000	4.342753e+000
2.668851065803593e-002	-1.122500e+001	5.280726e+000
2.698851065803590e-002	-1.295819e+001	6.144362e+000
